Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
866;CENTRO DE ESTUDIANTES UNIVERSITARIOS DE HENDERSON;01/01/2000;48 Nº 934;C. URBANO ESTE;Asistencia Estudiantil;1;1900;422-4333;ceu.henderson@hotmail.com;;mayo 2 de 1968;;L: 33355;110/02;;956;;;;;ROMERO JUAN PEDRO;1999-2000;;;;X;;
867;ASOCIACION DE AMIGOS DEL MUSEO MUNICIPAL DE BELLAS ARTES DE LA PLATA;01/01/2000;14 N° 781 P 1 Of. 1 ( LEGAL);C. URBANO NORTE;Promoción y Fomento;1;1900;424-7361/425-1304;;;julio 14 de 1987;;L: 44577 / M: 7218;1046/01;;957;;;;;HIPOLITO FILIBERTO FRANGI TEL: 457-5396;2000 (no hubo movimientos contables );;;;X;;
868;ASOCIACION DE FOMENTO CENTENARIO;01/01/2001;462 E/ 7 Y 8;CITY BELL;Equipamiento e Infraestructura;10;1896;;;;julio 29 de 1956;;L: 6994 / M: 4549;1018/01;;958;;;;;JORGE VALENZUELA 471- 3499 / 15-469-4293;2000-2001 (  falta balance );;;;X;;
869;ASOCIACION CULTURAL Y BIBLIOTECA POPULAR VIDA Y LUCHA DE ELIZALDE;01/01/2015;132 Nº 2558 E/ 84 Y 85;SAN LORENZO;Promoción y Fomento;3;1900;453-7878;;;agosto 27 de 1993;;L: 68230 / M: 12969;1019/01;;959;;;;;ROMERO RAMON C. TEL: 451-0693;2014-2015;31 de agosto;;X;;;
870;RESPUESTA INMEDIATA VOLUNTARIA EN ACCIDENTES Y CATASTROFES  (R.I.V.A.C. );01/01/2000;121 BIS N° 3165 E/ 96 Y 97;VILLA ELVIRA;Emergencias, Catástrofes y Prevención;8;1900;486-0403 / 154207533 / 154778462;;;marzo 4 de 1994;;L: 70612 / M:   14489;1015/01;;960;;;;;VALDEZ JORGE HORACIO TEL: 154-207533;2000;;;;X;;
871;CAMINEMOS JUNTOS;01/01/2008;SARMIENTO E/ CORDOBA Y ENTRE RIOS / 409 Y 147;ARTURO SEGUI;Capacidades Diferentes (en general);12;1895;474-2680;;;junio 6 de 1998;;L: 92674 / M: 18054;906/01;;961;;;;;MARCELA LOVARA;2007-2008;30 de abril;;;X;;
872;AMIGOS Y VECINOS DEL BARRIO EL RINCON;01/01/2001;29 E/ 429 Y 430;VILLA ELISA;Equipamiento e Infraestructura;12;1894;15497-3688;;;junio 29 de 2001;;L: 110869 / M: 23498;1053/01;;962;;;;;MARCELA ALEJANDRA SPERANZA  154-543470;2001( declaracion jurada de patrimonio );;;;X;;
873;AGRUPACION TODOS PARA UN MISMO FIN SECCION SEGUNDA;01/01/2015;DIAG. 76 N° 269 E/ 42 Y 17;C. URBANO ESTE;Desarrollo Humano y Solidaridad Social (en general);1;1900;421-1562;;;septiembre 11 de 1996;;L: 83410 / M: 15979;35/04;;963;;;;;GUSTAVO VERDE 470-6797;2015;31 de diciembre;;X;;;
874;GRUPO TERCERA EDAD SAN PONCIANO;01/01/2000;519 E/ 210 Y 211;ABASTO;Actividades y terapias recreativas;7;1903;;;;mayo 10 de 1991;;L: 57058 / M: 10533;1093/01;;964;;;;;VILLALBA HAYDEE TEL: 491-9443;2000;;;;X;;
875;FUNDACION VOLVER A CREAR;01/01/1998;GUEMES 1048 ESQ. ENTRE RIOS;ARTURO SEGUI;Desarrollo Humano y Solidaridad Social (en general);12;1895;474-0103;;;julio 4 de 1994;;L: 59900;1107/01;;965;;;;;CABALLERO CARLOS OMAR TEL: 011-42164304;1998-1999;;;;X;;
876;MEDICOS EN PREVENCION;01/01/2000;2 Nº 925;C. URBANO NORTE;Asistencia y Prevención;1;1900;483-9942/421-5857;mpreven@infovia.com.ar / sangui@netverk.com.ar;;septiembre 24 de 1998;;L: 97801 / M. 19765;1106/01;;966;;;;;CARLOS SANGUINETTI TEL: 471-1956;1999-2000;;;;X;;
877;CLUB DE TEJO Y CENTRO DE FOMENTO ALTOS DE SAN LORENZO;01/01/2000;81 E/ 20 Y 21 S / N;SAN LORENZO;Tejo;5;1900;;;;noviembre 4 de 1994;;L: 72420 / M: 14301;1167/01;;967;;;;;DARIO RODRIGUEZ TEL: 457-9462;2000 ( no hubo movimientos contables );;;;X;;
878;CORSODROMO CULTURAL ABASTO;01/01/2001;211 Y 519;ABASTO;Promoción y Fomento;7;1903;491-6346;;;marzo 14 de 2001;;L: 108935 / M: 22892;1162/01;;968;;;;;JORGE CITARELLI;2001 ( no hubo movimientos contables );;;;X;;
879;CENTRO SOCIAL POLITICO Y CULTURAL EL PULQUI;01/01/2003;66 E/ 160 Y 161;LOS HORNOS;Organizaciones Políticas;3;1941;450-8421;;;octubre 8 de 2000;;L: 106802 / M: 21943;1163/01;;969;;;;;ALVAREZ JUAN DOMINGO TEL: 450-8610;2003;;;;X;;
880;ASOCIACION PRO ORGANIZACION Y AYUDA RECIPROCA ( A.P.O.Y.A.R.);01/01/2000;50 N° 781;C. URBANO NORTE;Asistencia y Fomento de Instituciones;1;1900;TEL/FAX: 483-8498;asociacionapoyar@yahoo.com.ar;;noviembre 24 de 2000;;L: 107366 / M: 22282;1174/01;;970;;;;;CARLES MONICA TEL: 483-8498;2000 (  declaración jurada de patrimonio );;;;X;;
881;CENTRO VECINAL PLATENSES UNIDOS;01/01/2001;80 E/ 11 Y 12 Monoblock N° 10  P 2  Dto D;VILLA ELVIRA;Asistencia Infancia y Adolescencia;8;1900;453-1622;;;marzo 23  de 2001;;L: 109140 / M: 23694;1199/01;;971;;;;;IRMA BEATRIZ PUCHETA TEL: 453- 1622;2001 ( declaración jurada de patrimonio );;;;X;;
882;ESCUELITA DE FUTBOL DE  ARTURO SEGUI;01/01/2001;BELGRANO E/ SAN MARTIN Y 9 DE JULIO;ARTURO SEGUI;Fútbol;12;1895;474-0818;;;mayo 7 de 2001;;L: 109699 / M: 22830;1307/01;;972;;;;;ALEJO ESCUDERO TEL: 474-0818;2001 (  declaración jurada de patrimonio );;;;X;;
883;CENTRO CULTURAL Y SOCIAL DE RESIDENTES PROVINCIANOS;01/01/2005;5 N° 1830 E/ 513 Y 514;RINGUELET;Centros Culturales;6;1901;471-4276;;;2 de Abril 2000;;L: 104813 / M: 21432;1306/01;;973;;;;;GONZALEZ JUAN FELIX TEL: 471-4276;2004-2005 ( falta acta de aprobación del ejercicio 2003/2004 y no tratan la memoria en el acta 2004-2005 );;;;X;;
884;CENTRO DE ESTUDIOS PARA EL FORTALECIMIENTO DE LA DEMOCRACIA (C.E.FOR.DEM.);01/01/2001;3 N° 455 E/ 12 Y 13;CITY BELL;Centros de Estudios;10;1896;472-0320;;;diciembre 14 de 1999;;L: 101248 / M: 20274;1308/01;;974;;;;;PALLAORO HUGO A. TEL: 480-3386;2000-2001;;;;X;;
885;SAN FRANCISCO DE ASIS DE MELCHOR ROMERO;01/01/2015;172 Nº 1490 E/ 517 Y 518 / 174 N° 154 E/ 516 Y 517 ( Legal );ROMERO;Desarrollo Humano y Solidaridad Social (en general);14;;478-2220;;;septiembre 25 de 1998;;L: 96421 / M: 19198;1398/01;;975;;;;;MARIA DE LOS ANGELES ALEGRE 15 5790144;2015;31 de diciembre;;;X;;
886;BIBLIOTECA  POPULAR FRANCISCO LOPEZ MERINO;01/01/2007;DIAG. 73 E/ 119 Y 120;C. URBANO NORTE;Promoción y Fomento;1;1900;;;;junio 30 de 2001;;L: 110821 / M: 22847;1309/01;;976;;;;;KUSMINSKIY MAXIMO;2007;31 de diciembre;;;X;;
887;CENTRO DE INVESTIGACION DE ENFERMERIA EN LA LUCHA CONTRA EL SIDA (C.I.E.L.CO.S.);01/01/2000;143 N° 1781 FUNCIONA EN 142 E/ 65 Y 66 ( CLUB OLIMPIA );LOS HORNOS;Asistencia y Prevención;3;1941;450-3635;;;diciembre 26 de 1989;;L: 54005 / M: 9741;1400/01;;977;;;;;JULIA ISMAELA CARRIZO TEL: 450-9510 / 9550);2000;;;;X;;
888;ASOCIACION PARA EL DESARROLLO AMBIENTAL SUSTENTABLE (A.D.A.S);01/01/2000;8 N° 1562;C. URBANO SUR;Desarrollo Humano y Solidaridad Social (en general);9;1900;451-0144;acadas@sinectis.com.ar;;noviembre 18 de 1999;;L: 101078 / M: 20256;1399/01;;978;;;;;ADRIANA E. MENDEZ;1999-2000;;;;X;;
889;ASOCIACION AMIGOS DEL PARQUE SAAVEDRA;01/01/2001;16 N° 1611 (Fundacion Biosfera);C. URBANO SUR;Medio Ambiente;9;1900;457-3477 / 451-8912;;;junio 8 de 2000;;L: 105241 / M: 21524;1472/01;;979;;;;;LEONARDO BARLETTA  TEL: 451-8912;2000-2001;;;;X;;
890;AMOR Y RESPETO AL PROJIMO PARA LAS FAMILIAS DE VICTIMAS DE ACCIDENTES DE TRANSITO;01/01/2005;Cno.GRAL BELGRANO ESQ. 426 ( Legal);CITY BELL;Emergencias, Catástrofes y Prevención;10;1896;;;;agosto 8 de 1998;;L: 95858 / M: 18876;1474/01;;980;;;;;MARIA LILIAN GUIDI DE MESSI;2005;;;;X;;
891;ASOCIACION ATLETICA CULTURAL Y DEPORTIVA BARRIO MONASTERIO;01/01/2001;12 Y 80 Monoblock 6 Piso 3 Dto D (Sede Provisoria) 12 BIS E/ 80 Y 81;VILLA ELVIRA;Deportes en general;8;1900;453-7064;;;octubre 12 de 1993;;L: 68185;1581/01;;981;;;;;JULIA LUJAN TEL: 453-7064;2001 ( declaración jurada de patrimonio );;;;X;;
892;LA SEÑAL;01/01/2014;73 N° 445 ( Legal ) / 72 N° 410 Dto. 2;VILLA ELVIRA;Tejo;8;1900;452-5615;;;agosto 15 de 2000;;L: 105817 / M: 2219;0039/02;;982;;;;;CASTRO OSVALDO 15 5750676;2014;31 de diciembre;;;X;;
893;FUNDACION ONCOLOGICA INFANTIL ARGENTINA ( F.O.I.A. );01/01/2001;9 N° 460 E/ 41 Y 42 / 522 N° 1250 E/ 7 Y 8 / 49 N° 857 P 1 DTO. B;C. URBANO NORTE;Especialidades Médicas;2;1900;;;;junio 25 de 2001;;L: 110756 / M: 23172;0005/02;;984;;;;;KARINA E. LEVCHUK TEL: 461-4378;2001 ( declaración jurada de patrimonio );;;;X;;
894;ASOCIACION VIVA EL PROGRESO;01/01/2001;168 BIS E/ 523 Y 524;ROMERO;Asistencia Infancia y Adolescencia;14;;;;;marzo 31 de 2001;;L: 109891 / M: 22856;0003/02;;985;;;;;HECTOR FERREYRA;2001 (  declaración jurada de patrimonio );;;;X;;
895;ROTARY CLUB DE LA PLATA NORTE;01/01/2001;118 N° 270 E/ 37 Y 38;C. URBANO NORTE;Servicios;2;1900;;;;enero 5 de 1973;;L: 110852 / M: 23112;0001/02;;986;;;;;FASOLO JORGE ESTEBAN TEL: 424-8996;2001 (  declaración jurada de patrimonio );;;;X;;
896;JUNTA VECINAL 8 DE OCTUBRE;01/01/2010;527 N° 911 ESQ. 4;TOLOSA;Equipamiento e Infraestructura;6;1906;422-2790 / 423-6533;;;6 de Abril 1989;;L: 50540 / M: 8925;0037/02;;987;;;;;HECTOR MIGUEL TEL: 422-7411;2010;31 de diciembre;;X;;;
897;CENTRO DE PROMOCION COMUNITARIO 30 DE OCTUBRE;01/01/2000;124 E/ 606 Y 607;VILLA ELVIRA;Comedores;8;1900;;;;mayo 12 de 1999;;L: 89148 / M: 18834;0066/02;;988;;;;;MARIA DELIA CASTRO TEL: 486-2964 (hijo) / 15-5074324;2000-2001;;;;X;;REGULARIZACION !
898;BIBLIOTECA POPULAR ENRIQUE SANTOS DISCEPOLO PARA LA CULTURA NACIONAL;01/01/2005;13 N° 2226  E/ 77 Y 78;VILLA ELVIRA;Bibliotecas;8;1900;451-0982 / 457-6194 / 453-2495;discepolobiblioteca@yahoo.com.ar;;agosto 2 de 1996;;L: 83894 / M: 15957;156/02;;989;;;;;YACONI CARLOS ALBERTO TEL: 486-3180;2005;;;;X;;
899;CENTRO CULTURAL Y SOCIAL COMPARTIR Y BIBLIOTECA POPULAR CARLOS BORMIDA;01/01/2018;38 N° 1918 e/133 y 134;SAN CARLOS;Promoción y Fomento;4;1900;;noemi.132@hotmail.com;;noviembre 4 de 2001;;L: 112893 / M: 23420;112/02;;990;;;;;BLANCO NOEMI  155724474;2018;30 de noviembre;;X;;2011;
900;CONGREGACION RELIGIOSA HERMANAS DE LAS DIVINAS VOCACIONES;01/01/2001;66 N° 3225 E/ 159 Y 160;LOS HORNOS;Asistencia y Caridad;3;1941;450-2928;;;diciembre 17 de 1993;;;Dto. de Baja Nº 1010/09;;991;;;;;PASCUALINA CURCIO;2001;;;;X;;
901;UTOPIAS DE UN BARRIO ( A.C.U.BA. );01/01/2004;20 N° 2837 E/ 89 BIS Y 90;SAN LORENZO;Desarrollo Humano y Solidaridad Social (en general);5;1900;452-7541/ 452-9757 / fax 470-6637;civilacuba@netverk.com.ar / civilacuba@aol.com;;diciembre 7 de 1999;01/03/2000;L: 100693 / M: 20561;434/02;;992;;;;;JORGE RODRIGUEZ SIMOS;2004 ( resta presentar aprobación de la D.P.P.J. con relación a la reforma de Estatuto );;;;X;;
902;HOGAR DE NIÑOS CRIANZA;01/01/2004;528 N° 4182 E/ 136 Y 137;SAN CARLOS;Asistencia Infancia y Adolescencia;4;1900;479-8865;;;septiembre 7 de 1998;;L: 93849 / M: 18478;375/02;;993;;;;;JUAN PABLO MARTORELLO;2004;;;;X;;
903;SCOUTS DE ARGENTINA ZONA 12 BUENOS AIRES ESTE DISTRITO 2;01/01/2000;67 N° 2160;LOS HORNOS;Aprendizaje y Educación;3;1941;450-7879 / 154-283034;cfiel@mixmail.com;;diciembre 1 de 1996;;;358/02;;994;;;;;MARCELO OLIDEN TEL: 450-7879;1999-2000;;;;X;;
904;LOS TILOS ASOCIACION CIVIL;01/01/2008;449 Nº 1595 ESQ. 21D;CITY BELL;Asistencia Familiar;10;1896;487-0013 / 487-1453;;;diciembre 17 1997;;;387/02;;995;;;;;BERGALIO JUAN CARLOS TEL: 48118500;2008;31 de diciembre;;;X;;
905;EL ROBLE;01/01/2015;5 N° 542 / 38 Nº 360;C. URBANO NORTE;Asistencia Infancia y Adolescencia;2;1900;421-9406 / 424-1784;aalsina@netverk.com.ar info@asoccivilelroble.org.ar;;diciembre 15 de 1994;;L: 74928 / M: 14220;388/02;;997;SI;SI;;;ALSINA GUILLERMO HORACIO TEL: 424-1784;2015;31 de diciembre;X;X;;;
906;ASOCIACION APOYO FAMILIAR CASA DEL NIÑO REFUGIO DEL ANGEL;01/01/2016;529 N° 500 ESQ. 115 BIS;TOLOSA;Asistencia Familiar;6;1906;425-7932;pilarvazzano@hotmail.com;;marzo 10 de 2000;;L: 103357 / M: 20776;442/02;;998;;SI;;;VIRGINIA LOMASTRO;2015-2016;31 de marzo;;X;;2011;
907;CENTRO UNIDOS ALTOS DE LA GRANJA;01/01/2001;137 BIS N° 1546 E/ 516 Y 517;SAN CARLOS;Promoción y Fomento;14;1900;479-7802;;;octubre 20 de 1999;;L: 100311 / M: 20421;498/02;;999;;;;;CORONEL LIDIA TEL: 479-7802;2001;;;;X;;
908;ASOCIACION DE PROPIETARIOS DE PANADERIAS Y AFINES DE LA PLATA BERISSO Y ENSENADA;01/01/2000;DIAG. 77 N° 452 E/ 6 Y 7;C. URBANO NORTE;Desarrollo Comercial y Productivo;1;1900;421-5326;app@sinectis.com.ar;;octubre 10 de 1895;;L: 1530 / M: 2985;617/02;;1000;;;;;GRAVENTTA MARIO;1999-2000;;;;X;;
909;FUNDACION PASAJE;01/01/2001;2 N° 1631 E/ 65 Y 66 / 136 N° 579 ( LEGAL );C. URBANO SUR;Atención Adicciones;9;1900;421-6788;fundacionpasaje@netverk.com.ar;;julio 10 de 2000;;L: 106478 / M: 21981;601/02;;1001;;;;;PORRINI HUGO A. TEL: 470-0971;2000-2001;;;;X;;
910;COMPLEJO DE TEJO AVENIDA 72 GRUPO TERCERA EDAD FAUSTO LOPEZ;01/01/2012;72 E/ 3 Y 4 S/N / 4 Nº 1921 E/ 71 Y 72;VILLA ELVIRA;Tejo;8;1900;;;;noviembre 28 de 2001;;L: 114127 / M: 24030;607/02;;1002;;;;;CAPOBIANCO DANTE ,,,,482-5594;2012;31 de diciembre;;X;;;
911;CENTRO COMUNITARIO MADRE TERESA;01/01/2001;52 E/ 149 Y 150;LOS HORNOS;Comedores;3;1941;;;;febrero 5 de 2001;;L: 108803 / M: 22588;608/02;;1003;;;;;ROMERO ALBERTO TEL: 456-1558;2001;;;;X;;
912;LEVANTATE Y ANDA;01/01/2005;34 N° 28 E/ 121 Y 122 / 530 Nº 3115 ( ringuelet );C. URBANO NORTE;Asistencia Familiar;2;1900;;;;febrero 22 de 2002;;L: 113806 / M: 23915;829/02;;1004;;;;;JUAREZ SARA S. TEL: 453-4362;2004-2005;31 de octubre;;;X;;
913;CENTRO UNIVERSITARIO DE ARRECIFES;01/01/2004;46 N° 272 E/ 1 Y 115;C. URBANO NORTE;Asistencia Estudiantil;1;1900;424-2775;;;julio 1 de 1987;;;830/02;;1005;;;;;ACOSTA ADRIANA;2003-2004;;;;X;;
914;CENTRO FORMATIVA PARA EL FITNESS;01/01/2001;DIAG. 74 N° 2474;C. URBANO SUR;Aprendizaje y Educación;5;1900;451-9722;;;marzo 1 de 2000;;L: 99639 / M: 20045;1044/02;;1006;;;;;CATINI SERGIO FABIAN TEL: 453-9921;2000-2001;;;;X;;
915;CENTRO CULTURAL Y BIBLIOTECA POPULAR ENLAZANDO PALABRAS;01/01/2019;521 N 4568 E/140 Y 141 LA GRANJA;SAN CARLOS;Aprendizaje y Educación;14;1900;4705297;ongenlazandopalabras@hotmail.com;;10 de Abril 2000;02/06/2000;L: 103931 / M: 20959;930/02;;1007;;;;;ALEJANDRA ARROYO (PTE) 4705297;2019;31 de marzo;;X;;2019;
916;AS.O.D.A. ASOCIACION PARA LA ORIENTACION DEL DROGADEPENDIENTE Y EL ALCOHOLICO;01/01/2001;67 N° 1168 DTO. A / 50 N° 675 P 3 DTO. C;C. URBANO SUR;Atención Adicciones;9;1900;452-4035;;;julio 3 de 1996;;L: 82581 / M: 15704;931/02;;1008;;;;;NAMATAME BEATRIZ TEL: 15-5017118;2001;;;;X;;
917;CENTRO RECREATIVO INFANTIL RIVADAVIA;01/01/2001;532 N° 171 ESQ. 117;TOLOSA;Deportes en general;6;1906;;;;octubre 8 de 1989;17/05/1991;L: 52394 / M: 10.393;1042/02;;1009;;;;;BARBARULO GAUDENCIO TEL: 425-0506;2000-2001;;;;X;;
918;INSTITUCION VECINAL UN SOL PARA LOS CHICOS;01/01/2002;600 E/ 120 Y 120 BIS;VILLA ELVIRA;Asistencia Familiar;8;1900;;;;enero 20 de 2002;24/06/2002;L: 113861 / M: 24192;1040/02;;1011;;;;;RODRIGUEZ ALBERTO;2002 (  declaración jurada de patrimonio );;;;X;;
919;O.A.C.I.S. OLMOS ASOCIACION DEL COMERCIO LA INDUSTRIA Y SERVICIOS;01/01/2000;195 BIS ESQ. 44;OLMOS;Desarrollo Comercial y Productivo;7;;496-2536;;;;;L: 91358 / M: 17789;1045/02;;1012;;;;;ANDRIJIC PEDRO TEL: 496-1398;2000;;;;X;;
920;AMPARO;01/01/2014;DIAG. 80 N° 1059 P 4 DTO. 11;C. URBANO NORTE;Asistencia Infancia y Adolescencia;2;1900;425-1161;;;octubre 18 de 1999;;L: 99853;1043/02;;1013;;;;;;en jurjídicas 2014;29 de diciembre;;;X;;
921;ASOCIACION COMERCIAL LOS HORNOS (A.C.L.H.O.);01/01/2010;137 N° 1367 E/ 60 Y 61;LOS HORNOS;Desarrollo Comercial y Productivo;3;1941;450-9978 / 450-2305;;;;;L: 40724 / M: 6922;1046/02;;1014;;;;;ROSAS LUIS TEL: 450-7739;2009-2010;31 de enero;;X;;;
922;IPLESA INSTITUTO PLATENSE DE LENGUA DE SEÑAS ARGENTINA;01/01/2004;67 N° 1733 DTO. 4 / 10 N° 379;C. URBANO SUR;;5;1900;452-4103;iplesa@amc.com.ar / iplesa@hotmail.com;;agosto 28 de 1999;;L: 98973 / M: 19898;1096/02 exp. 47941/05 Baja Dto. 201/05;;1015;;;X;;ADRIAN REYNOSO;2003-2004 ( presentaron convocatoria a asamblea extraordinaria para el día 27/11/04 );;;;X;;
923;ASOCIACION AMIGOS DE LA CALLE 12;01/01/2001;58 N° 835;C. URBANO SUR;Desarrollo Comercial y Productivo;9;1900;423-3631;;;agosto 1 de 1943;;L: 86781;1097/02;;1017;;;;;ALEJANDRO FRANGI TEL: 451-9407;2001;;;;X;;
924;CENTRO CULTURAL SOCIAL DEPORTIVO Y BIBLIOTECA PIBES;01/01/2002;520 N° 4860;SAN CARLOS;Asistencia Infancia y Adolescencia;4;1900;;;;9 de Abril 1999;;L: 97633 / M: 20308;84/03;;1018;;;;;BETANCOR RUBEN;2001-2002;;;;X;;
925;FUNDACION PADRE JOSE DARDI;01/01/2001;SOR MARIA LUDOVICA N° 1525 E/ 21 Y 22 / RIVADAVIA E/ 21 Y 23;CITY BELL;Desarrollo Humano y Solidaridad Social (en general);10;1896;472-2108 / 472-0708;;;8 de Abril 1981;;L: 27744;1303/02;;1019;;;;;NESTOR SESTAKAUSKAS TEL: 472-2243;2000-2001;;;;X;;
926;COMISION VECINAL LUZ DE VILLA MONTORO;01/01/2008;96 E/ 118 Y 119 S/N;VILLA ELVIRA;Promoción y Fomento;8;1900;;;;enero 3 de 2002;;L: 113489 / M: 24026;1305/02;;1020;;;;;LOPEZ JOSE ANTONIO;2007-2008;10 de agosto;;;X;;
927;ASOCIACION DE COMERCIANTES INDUSTRIALES Y PRESTADORES DE SERVICIOS DE GONNET Y ADYACENCIAS ( A.C.I.S.G.A.);01/01/2009;14 N° 3027 E/ 501 Y 502;GONNET;Desarrollo Comercial y Productivo;13;1897;484-2210;;;marzo de 1994;;L: 79662 / M: 15590;1301/02;;1021;;;;;GUILLERMO ALFREDO BERLIN;2008-2009;30 de junio;;;X;;
928;ASOCIACION DE COMERCIANTES INDUSTRIALES Y PRESTADORES DE SERVICIOS DE CITY BELL;01/01/2000;1 N° 91 1/2 Planta alta;CITY BELL;Desarrollo Comercial y Productivo;10;1896;480-3929;;;noviembre 23 de 1992;;L: 62833 / M:11871;1365/02;;1022;;;;;EDUARDO TREBINO TEL: 480-3189;1999-2000;;;;X;;
929;ASOCIACION DE COLONOS LA ARMONIA;01/01/2001;620 E/ 150 Y 151;LOS HORNOS;Equipamiento e Infraestructura;3;1941;;;;noviembre 3 de 1974;;L: 14728 / M: 10483;1306/02;;1023;;;;;FORTINO OSVALDO TEL: 154-959051;2000-2001;;;;X;;
930;ASOCIACION APOYO FAMILIAR CASA DEL NIÑO CASITA DEL SOL;01/01/2018;54 E/ 14 Y 15;VILLA ELISA;Asistencia Familiar;12;1894;473-2444;;;noviembre 23 de 1999;;L: 101052 / M: 20606;1304/02;;1024;SI;;;;DE SOUSA CLAUDIA 487-1117;2018;31 de agosto;X;X;;;
931;NOS GUIA UNA ESTRELLA;01/01/2002;9 N° 2181 E/ 510 Y 511;RINGUELET;Aprendizaje y Educación;6;1901;;;;mayo 10 de 2002;;L: 114751;1302/02;;1025;;;;;DURAN GLORIA NILDA TEL: 471-1096;2002 ( declaración jurada de patrimonio );;;;X;;
932;CENTRO COMUNITARIO CULTURAL EL CENTINELA ( PRO SALA AUXILIAR CENTINELA );01/01/2001;170 S/N E/ 44 Y 45;OLMOS;Comedores;14;;;;;mayo 19 de 2001;;L: 110301/ M: 22885;1298/02;;1026;;;;;SANDOBAL ESTELA M TEL: 479-2872;2001 ( declaración jurada de patrimonio );;;;X;;
933;CASA SOLIDARIA SAN FRANCISCO;01/01/2003;23 N° 564 E/ 43 Y 44;C. URBANO ESTE;Copas de Leche;4;1900;471-3940;casasolidariasf@hotmail.com;;septiembre 21 de 1999;;L: 99523 / M: 20464;654/03;;1027;;;;;PAULINO ANGEL FRANCISCO;2002-2003 ( resta presentar balance y memoria );;;;X;;
934;UNION VECINAL POR UN BARRIO MEJOR;01/01/2002;99 N° 463;VILLA ELVIRA;Aprendizaje y Educación;8;1900;;;;julio 11 de 2002;;L: 115789;179/03;;1028;;;;;CORONEL OLGA TEL: 486-8415;2002 ( declaración jurada de patrimonio );;;;X;;
935;GRUPO PREVENIR;01/01/2002;1 N° 654;C. URBANO NORTE;Atención Adicciones;1;1900;425-1641;;;noviembre 14 de 2001;;L: 113400 / M: 23829;60/03;;1029;;;;;SILVIA DELIA MAGGI TEL: 452-4712;2002 ( declaración jurada de patrimonio );;;;X;;
936;ASOCIACION SAN CARLOS;01/01/2007;44 Y 155 BIS;SAN CARLOS;Fútbol;4;;;sancar-96@yahoo.com.ar;;diciembre 19 de 1993;;M: 15398 / L: 69567;62/03;;1030;;;;;GUILLERMO BARRERA TEL: 15-4118249;2007;31 de diciembre;;;X;;
937;CENTRO RECREATIVO Y SOCIAL ELIZALDE ZONA SUR;;29 E/ 79 Y 80;SAN LORENZO;CENTRO DE FOMENTO;5;1900;;;;marzo 15 de 2002;;L: 114653 / M: 24520;;;1031;;;;;RAMOS RODOLFO RAUL TEL: 155233969;;;;;X;;
938;BIBLIOTECA POPULAR DON LUIS A. REPETTO;01/01/2018;59 N° 584 E/ 6 Y 7;C. URBANO SUR;Bibliotecas;9;1900;423-3036;graciela_la22_gor@hotmail.com;;diciembre 13 de 1941;;L: 85375 / M: 17669;61/03;;1032;;;;;ROBERTO CRISCONIO 482-3087;2018;31 de diciembre;;X;;2011;
939;CORAZONES UNIDOS DE TOLOSA;01/01/2001;4 Nº 1064 1/2 E/ 521 Y 522;TOLOSA;Actividades y terapias recreativas;6;1906;423-0929;;;mayo 10 de 1988;;L: 47424 / M: 8079;59/03;;1033;;;;;CARLOS H. VACA;2001;;;;X;;
940;NUEVA CAPITAL PARA LA TRANSFORMACION Y EL DESARROLLO SOCIAL Y CULTURAL DE NUESTRA GENTE;01/01/2002;10 N° 708 / 9 N° 890 P 3 DTO. A;C. URBANO NORTE;Promoción y Fomento;1;1900;;;;noviembre 22 de 1996;;L: 84742 / M: 16184;83/03;;1034;;;;;PELLEGRINO MARTIN EDUARDO TEL: 423-6911;2001-2002 ( no hubo movimientos contables );;;;X;;
941;ASOCIACION DE BIENESTAR VECINAL COPA DE LECHE SOLIDARIA;01/01/2002;36 N° 34 E/ 133 Y 134;SAN CARLOS;Copas de Leche;4;1900;;;;enero 15 de 2002;;L: 114082 / M: 24170;58/03;;1035;;;;;MESTRE NILDA INES TEL: 470-5669;2002 ( declaración jurada de patrimonio );;;;X;;
942;GRUPO PROTECCIONISTA AMIGOS ( G.P.A. );01/01/2001;14 N° 663;C. URBANO ESTE;Vida Animal;1;1900;422-3521;;;noviembre 6 de 2001;;L: 112889;030/03;;1036;;;;;SONIA CRISTINA BONFANTIN TEL: 422-3521;2001 ( declaración jurada de patrimonio );;;;X;;
943;BIBLIOTECA POPULAR INFANTIL Y JUVENIL TUPAC AMARU;01/01/2017;10 bis  Nº 1954 1/2 e/ 512 y 513;RINGUELET;Bibliotecas;4;1900;470-5989;bibliotecatupacamaru@yahoo.com.ar;;octubre 12 de 1999;;L: 99985 / M: 20234;032/03;;1037;;;;;MARTINEZ MARIA JOSE;2017;31 de diciembre;;X;;;
